FID,CHSA_CD,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
175,5212,23686.18,53.005114,-122.817823,65289580536,1913483.847
176,5221,6.97,54.227806,-125.751251,20359682,23426.77698
177,5222,18719.86,53.56967,-126.16719,52984263100,1294623.225
178,5223,7097.16,54.545519,-125.894035,21039036273,879154.4562
179,5231,54.28,54.015546,-124.004685,156897083.4,67189.46419
180,5232,5611.19,53.824728,-123.963427,16073151505,766736.9147
181,5233,33203.19,55.300504,-125.43247,1.02E+11,2323414.701
182,5234,3676.43,53.858062,-124.765658,10546569659,566512.2425
183,5241,183.69,53.968959,-122.778853,529802877.5,151658.9945
184,5242,80.3,53.893438,-122.714335,230766889.8,101459.6322
185,5243,72.13,53.850274,-122.817516,206851125.2,66609.1235
186,5246,15221.42,53.112753,-119.706364,42176956467,1622810.23
187,5245,27568.87,54.304913,-122.097547,80825401898,2064670.48
188,5244,4121.34,53.618236,-122.888165,11691042862,671510.7163
189,5311,30.87,55.743655,-120.216752,97215176.29,65474.9426
190,5312,43.46,55.719227,-121.634191,136637602.1,69668.72701
191,5313,1571.03,55.058314,-121.158407,4778313195,312999.9671
192,5314,26166.91,55.351426,-121.1848,80823702914,2110417.759
193,5321,26.27,56.24448,-120.83657,84855632.16,82566.0776
194,5322,896.91,56.023582,-122.006847,2864611016,247064.2507
195,5323,67027.01,57.08861,-122.625274,2.27E+11,2313473.073
196,5331,13.79,58.805878,-122.696306,51238183.41,46319.69775
197,5332,89361.54,58.986346,-123.664232,3.38E+11,3075514.949
198,4330,5144.09,49.896042,-126.870457,12385216212,2970291.583
199,3114,30.07,49.198088,-123.178363,70330487.27,84442.47518
200,2322,158.55,49.096435,-123.014261,369516249.4,147424.5182
201,2312,43.59,49.176387,-122.621499,101901875.2,42313.23326
202,2141,28.67,49.14399,-122.297568,66921591.96,49623.50247
203,4232,358.42,48.977755,-123.98157,831231272.6,351680.2834
204,4341,1609.99,50.522155,-127.370766,3979796696,634221.4241
205,5110,27578.58,56.305727,-129.27076,89433331220,3074750.208
206,2331,22.34,49.181324,-122.828048,52243924.73,59979.45817
