release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
MACFL-15275,MACFL,nep,A69-1303-30647,ANIMAL,38.210979,-121.536976,2008-12-03T06:01:00Z,2009-02-11T06:01:00Z,VEMCO,V7,1062380,A69-1303,30647
MACFL-15276,MACFL,nep,A69-1303-30646,ANIMAL,38.210979,-121.536976,2008-12-03T06:01:00Z,2009-02-11T06:01:00Z,VEMCO,V7,1062379,A69-1303,30646
MACFL-15277,MACFL,nep,A69-1303-30648,ANIMAL,38.210979,-121.536976,2008-12-03T07:00:00Z,2009-02-11T07:00:00Z,VEMCO,V7,1062381,A69-1303,30648
MACFL-15278,MACFL,nep,A69-1303-30649,ANIMAL,38.210979,-121.536976,2008-12-03T07:00:00Z,2009-02-11T07:00:00Z,VEMCO,V7,1062382,A69-1303,30649
MACFL-15279,MACFL,nep,A69-1303-30651,ANIMAL,38.210979,-121.536976,2008-12-03T08:00:00Z,2009-02-11T08:00:00Z,VEMCO,V7,1062384,A69-1303,30651
MACFL-15280,MACFL,nep,A69-1303-30652,ANIMAL,38.210979,-121.536976,2008-12-03T08:00:00Z,2009-02-11T08:00:00Z,VEMCO,V7,1062385,A69-1303,30652
MACFL-15281,MACFL,nep,A69-1303-30653,ANIMAL,38.210979,-121.536976,2008-12-03T09:01:00Z,2009-02-11T09:01:00Z,VEMCO,V7,1062386,A69-1303,30653
MACFL-15282,MACFL,nep,A69-1303-30654,ANIMAL,38.210979,-121.536976,2008-12-03T09:01:00Z,2009-02-11T09:01:00Z,VEMCO,V7,1062387,A69-1303,30654
MACFL-15283,MACFL,nep,A69-1303-30655,ANIMAL,38.210979,-121.536976,2008-12-03T10:00:00Z,2009-02-11T10:00:00Z,VEMCO,V7,1062388,A69-1303,30655
MACFL-15284,MACFL,nep,A69-1303-30656,ANIMAL,38.210979,-121.536976,2008-12-03T10:00:00Z,2009-02-11T10:00:00Z,VEMCO,V7,1062389,A69-1303,30656
MACFL-15285,MACFL,nep,A69-1303-30657,ANIMAL,38.210979,-121.536976,2008-12-03T11:02:00Z,2009-02-11T11:02:00Z,VEMCO,V7,1062390,A69-1303,30657
MACFL-15286,MACFL,nep,A69-1303-30658,ANIMAL,38.210979,-121.536976,2008-12-03T11:02:00Z,2009-02-11T11:02:00Z,VEMCO,V7,1062391,A69-1303,30658
MACFL-15287,MACFL,nep,A69-1303-30660,ANIMAL,38.210979,-121.536976,2008-12-03T12:01:00Z,2009-02-11T12:01:00Z,VEMCO,V7,1062393,A69-1303,30660
MACFL-15288,MACFL,nep,A69-1303-30661,ANIMAL,38.210979,-121.536976,2008-12-03T12:01:00Z,2009-02-11T12:01:00Z,VEMCO,V7,1062394,A69-1303,30661
MACFL-15289,MACFL,nep,A69-1303-30662,ANIMAL,38.210979,-121.536976,2008-12-03T12:01:00Z,2009-02-11T12:01:00Z,VEMCO,V7,1062395,A69-1303,30662
MACFL-15290,MACFL,nep,A69-1303-30659,ANIMAL,38.210979,-121.536976,2008-12-03T12:01:00Z,2009-02-11T12:01:00Z,VEMCO,V7,1062392,A69-1303,30659
MACFL-15291,MACFL,nep,A69-1303-30666,ANIMAL,38.581239,-121.507286,2008-12-03T13:00:00Z,2009-02-11T13:00:00Z,VEMCO,V7,1062399,A69-1303,30666
MACFL-15292,MACFL,nep,A69-1303-30663,ANIMAL,38.581239,-121.507286,2008-12-03T13:00:00Z,2009-02-11T13:00:00Z,VEMCO,V7,1062396,A69-1303,30663
