deployment_id,deployment_project_reference,datacenter_reference,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments
,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,
RB38-VR2W-180-300781-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300781,74.6689,-94.861,2013-08-09T03:10:00Z,2013-08-30T21:23:00Z,ALS,ManmadePlatform,ALS_RB38,20,17,NOT GIVEN 
RB39-VR2W-180-300797-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300797,74.66891,-94.85089,2013-08-09T03:15:00Z,2013-08-30T20:00:00Z,ALS,ManmadePlatform,ALS_RB39,17,14,NOT GIVEN 
RB31-VR2W-180-300762-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300762,74.67162,-94.87146,2013-08-09T03:27:00Z,2013-08-22T20:55:00Z,ALS,ManmadePlatform,ALS_RB31,12,9,NOT GIVEN 
RB32-VR2W-180-300794-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300794,74.67165,-94.86122,2013-08-09T03:32:00Z,2013-08-22T20:51:00Z,ALS,ManmadePlatform,ALS_RB32,14,11,NOT GIVEN 
RB3-VR2W-180-300599-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300599,74.68824,-94.87215,2013-08-11T01:50:00Z,2013-08-30T21:05:00Z,ALS,ManmadePlatform,ALS_RB3,15,12,NOT GIVEN 
RBBP2-Battery Pack-153-2,ALS,OTN-Global,VEMCO,Battery Pack,153,74.64791,-94.833,2013-08-17T15:45:00Z,2014-08-29T14:38:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBBP3-Battery Pack-151-1,ALS,OTN-Global,VEMCO,Battery Pack,151,74.64791,-94.833,2013-08-17T18:00:00Z,2014-08-30T18:30:00Z,ALS,ManmadePlatform,ALS_RBBP3,29,26,NOT GIVEN 
RB7-CROM+-unknown-2-2,ALS,OTN-Global,Romor,CROM+,unknown-2,74.68549,-94.86194,2013-08-18T20:17:00Z,,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RBBP2-CROM+-None-2,ALS,OTN-Global,Romor,CROM+,None,74.64791,-94.833,2013-08-17T15:45:00Z,2014-08-29T14:38:00Z,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBBP3-CROM+-None-1,ALS,OTN-Global,Romor,CROM+,None,74.64791,-94.833,2013-08-17T18:00:00Z,2014-08-30T18:30:00Z,ALS,ManmadePlatform,ALS_RBBP3,29,26,NOT GIVEN 
RB7-VR2W-110530-2,ALS,OTN-Global,VEMCO,VR2W,110530,74.68548768,-94.86194267,2013-08-18T20:17:00Z,2014-08-17T17:36:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RBBP2-VR2W-110541-2,ALS,OTN-Global,VEMCO,VR2W,110541,74.64791,-94.833,2013-08-17T15:45:00Z,,ALS,ManmadePlatform,ALS_RBBP2,29,26,NOT GIVEN 
RBD10-VR2W-110549-2,ALS,OTN-Global,VEMCO,VR2W,110549,74.64588672,-94.8262158,2013-09-01T17:09:00Z,2014-08-28T09:11:00Z,ALS,ManmadePlatform,ALS_RBD10,60,57,NOT GIVEN 
RBD11-VR2W-110550-2,ALS,OTN-Global,VEMCO,VR2W,110550,74.64475902,-94.81682673,2013-09-01T17:12:00Z,2014-08-28T09:04:00Z,ALS,ManmadePlatform,ALS_RBD11,60,57,NOT GIVEN 
RBD13-VR2W-110535-2,ALS,OTN-Global,VEMCO,VR2W,110535,74.64249638,-94.79884208,2013-09-01T17:17:00Z,2014-08-28T08:50:00Z,ALS,ManmadePlatform,ALS_RBD13,60,57,NOT GIVEN 
RBD1-VR2W-110536-2,ALS,OTN-Global,VEMCO,VR2W,110536,74.65590192,-94.90839274,2013-09-01T14:30:00Z,2014-08-28T10:03:00Z,ALS,ManmadePlatform,ALS_RBD1,60,57,NOT GIVEN 
