platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
HFX208,HFX,OTN-Global,Underwater mooring,151,HFX208,43.18295,-63.5
HFX044,HFX,OTN-Global,Underwater mooring,145,HFX044,44.23041,-63.25612
HFX048,HFX,OTN-Global,Underwater mooring,165,HFX048,44.20778,-63.23105
HFX174,HFX,OTN-Global,Underwater mooring,175,HFX174,43.42794,-63.5
HFX045,HFX,OTN-Global,Underwater mooring,146,HFX045,44.22475,-63.24985
HFX049,HFX,OTN-Global,Underwater mooring,166,HFX049,44.20212,-63.22478
HFX143,HFX,OTN-Global,Underwater mooring,121,HFX143,43.63364,-63.39956
HFX170,HFX,OTN-Global,Underwater mooring,171,HFX170,43.45677,-63.5
HFX289,HFX,OTN-Global,Underwater mooring,140,HFX289,43.9015,-63.2646
HFX298,HFX,OTN-Global,Underwater mooring,124,HFX298,43.8444,-63.3037
HFX144,HFX,OTN-Global,Underwater mooring,122,HFX144,43.62727,-63.40435
HFX171,HFX,OTN-Global,Underwater mooring,173,HFX171,43.44956,-63.5
HFX190,HFX,OTN-Global,Underwater mooring,168,HFX190,43.31265,-63.5
HFX209,HFX,OTN-Global,Underwater mooring,149,HFX209,43.17575,-63.5
HFX173,HFX,OTN-Global,Underwater mooring,175,HFX173,43.43515,-63.5
HFX050,HFX,OTN-Global,Underwater mooring,166,HFX050,44.19647,-63.21851
HFX051,HFX,OTN-Global,Underwater mooring,166,HFX051,44.19081,-63.21224
HFX053,HFX,OTN-Global,Underwater mooring,166,HFX053,44.1795,-63.1997
HFX020,HFX,OTN-Global,Underwater mooring,104,HFX020,44.36838,-63.41019
HFX035,HFX,OTN-Global,Underwater mooring,135.26,HFX035,44.28157,-63.31296
HFX064,HFX,OTN-Global,Underwater mooring,165,HFX064,44.11728,-63.13075
HFX-ST02,HFX,OTN-Global,Underwater mooring,68,HFX-ST02,44.42275,-63.47091
HFX-ST01,HFX,OTN-Global,Underwater mooring,68,HFX-ST01,44.42347,-63.47173
HFX-ADCP001,HFX,OTN-Global,Underwater mooring,135.26,HFX-ADCP001,44.3519,-63.3047
HFX027,HFX,OTN-Global,Underwater mooring,120,HFX027,44.32787,-63.36481
HFX-ADCP003,HFX,OTN-Global,Underwater mooring,135.26,HFX-ADCP003,44.134,-63.0331
HFX-ST03,HFX,OTN-Global,Underwater mooring,68,HFX-ST03,44.42202,-63.47016
HFX-ST04,HFX,OTN-Global,Underwater mooring,68,HFX-ST04,44.41789,-63.46546
HFX023,HFX,OTN-Global,Underwater mooring,122,HFX023,44.35102,-63.39074
HFX024,HFX,OTN-Global,Underwater mooring,118,HFX024,44.34523,-63.38426
HFX210,HFX,OTN-Global,Underwater mooring,148,HFX210,43.16854,-63.5
HFX025,HFX,OTN-Global,Underwater mooring,114,HFX025,44.33944,-63.37778
HFX211,HFX,OTN-Global,Underwater mooring,147,HFX211,43.16134,-63.5
HFX046,HFX,OTN-Global,Underwater mooring,150,HFX046,44.21909,-63.24358
HFX073,HFX,OTN-Global,Underwater mooring,208,HFX073,44.06637,-63.07434
HFX065,HFX,OTN-Global,Underwater mooring,165,HFX065,44.11162,-63.12448
HFX038,HFX,OTN-Global,Underwater mooring,145,HFX038,44.26434,-63.29373
HFX041,HFX,OTN-Global,Underwater mooring,142,HFX041,44.24737,-63.27493
HFX042,HFX,OTN-Global,Underwater mooring,160,HFX042,44.24172,-63.26866
HFX054,HFX,OTN-Global,Underwater mooring,165,HFX054,44.17384,-63.19344
HFX055,HFX,OTN-Global,Underwater mooring,164,HFX055,44.16819,-63.18717
HFX056,HFX,OTN-Global,Underwater mooring,164,HFX056,44.16253,-63.1809
HFX057,HFX,OTN-Global,Underwater mooring,140,HFX057,44.15687,-63.17463
HFX058,HFX,OTN-Global,Underwater mooring,146,HFX058,44.15122,-63.16836
HFX059,HFX,OTN-Global,Underwater mooring,150,HFX059,44.14556,-63.16209
HFX060,HFX,OTN-Global,Underwater mooring,165,HFX060,44.1399,-63.15583
HFX061,HFX,OTN-Global,Underwater mooring,170,HFX061,44.13425,-63.14956
HFX062,HFX,OTN-Global,Underwater mooring,173,HFX062,44.12859,-63.14329
HFX175,HFX,OTN-Global,Underwater mooring,175,HFX175,43.42074,-63.5
HFX176,HFX,OTN-Global,Underwater mooring,174,HFX176,43.41353,-63.5
HFX066,HFX,OTN-Global,Underwater mooring,160,HFX066,44.10597,-63.11822
HFX067,HFX,OTN-Global,Underwater mooring,160,HFX067,44.10031,-63.11195
HFX185,HFX,OTN-Global,Underwater mooring,171,HFX185,43.34868,-63.5
HFX106,HFX,OTN-Global,Underwater mooring,141,HFX106,43.8563687,-63.23216682
HFX145,HFX,OTN-Global,Underwater mooring,121,HFX145,43.62091,-63.40913
HFX212,HFX,OTN-Global,Underwater mooring,147,HFX212,43.15413,-63.5
HFX177,HFX,OTN-Global,Underwater mooring,174,HFX177,43.40633,-63.5
HFX178,HFX,OTN-Global,Underwater mooring,174,HFX178,43.39912,-63.5
HFX186,HFX,OTN-Global,Underwater mooring,172,HFX186,43.34148,-63.5
HFX156,HFX,OTN-Global,Underwater mooring,148,HFX156,43.55091,-63.46174
HFX213,HFX,OTN-Global,Underwater mooring,152,HFX213,43.14692,-63.5
HFX228,HFX,OTN-Global,Underwater mooring,165,HFX228,43.03884,-63.5
HFX157,HFX,OTN-Global,Underwater mooring,153,HFX157,43.54455,-63.46652
HFX158,HFX,OTN-Global,Underwater mooring,155,HFX158,43.53818,-63.4713
HFX159,HFX,OTN-Global,Underwater mooring,158,HFX159,43.53182,-63.47609
HFX160,HFX,OTN-Global,Underwater mooring,161,HFX160,43.52545,-63.48087
HFX168,HFX,OTN-Global,Underwater mooring,172,HFX168,43.47118,-63.5
HFX257,HFX,OTN-Global,Underwater mooring,164,HFX257,44.1054,-63.1287
HFX259,HFX,OTN-Global,Underwater mooring,145,HFX259,44.0926,-63.1373
HFX295,HFX,OTN-Global,Underwater mooring,127,HFX295,43.8635,-63.2901
HFX301,HFX,OTN-Global,Underwater mooring,137,HFX301,43.8255,-63.3161
HFX297,HFX,OTN-Global,Underwater mooring,119,HFX297,43.8506,-63.2997
HFX288,HFX,OTN-Global,Underwater mooring,139,HFX288,43.908,-63.2614
HFX270,HFX,OTN-Global,Underwater mooring,175,HFX270,44.0226,-63.1843
HFX278,HFX,OTN-Global,Underwater mooring,166,HFX278,43.9723,-63.2178
HFX277,HFX,OTN-Global,Underwater mooring,183,HFX277,43.9782,-63.2142
HFX275,HFX,OTN-Global,Underwater mooring,185,HFX275,43.9911,-63.2053
HFX292,HFX,OTN-Global,Underwater mooring,140,HFX292,43.8828,-63.2783
HFX260,HFX,OTN-Global,Underwater mooring,144,HFX260,44.0862,-63.1415
HFX273,HFX,OTN-Global,Underwater mooring,172,HFX273,44.004,-63.1971
HFX258,HFX,OTN-Global,Underwater mooring,152,HFX258,44.0991,-63.133
HFX280,HFX,OTN-Global,Underwater mooring,151,HFX280,43.9591,-63.2268
HFX262,HFX,OTN-Global,Underwater mooring,138,HFX262,44.0736,-63.1499
HFX294,HFX,OTN-Global,Underwater mooring,135,HFX294,43.8696,-63.2859
HFX161,HFX,OTN-Global,Underwater mooring,166,HFX161,43.51909,-63.48565
HFX187,HFX,OTN-Global,Underwater mooring,170,HFX187,43.33427,-63.5
HFX188,HFX,OTN-Global,Underwater mooring,172,HFX188,43.32707,-63.5
HFX165,HFX,OTN-Global,Underwater mooring,174,HFX165,43.49279,-63.5
HFX189,HFX,OTN-Global,Underwater mooring,170,HFX189,43.31986,-63.5
HFX153,HFX,OTN-Global,Underwater mooring,134,HFX153,43.57,-63.44739
HFX166,HFX,OTN-Global,Underwater mooring,174,HFX166,43.48559,-63.5
HFX154,HFX,OTN-Global,Underwater mooring,136,HFX154,43.56364,-63.45217
HFX155,HFX,OTN-Global,Underwater mooring,142,HFX155,43.55727,-63.45696
HFX146,HFX,OTN-Global,Underwater mooring,129,HFX146,43.61455,-63.41391
HFX147,HFX,OTN-Global,Underwater mooring,130,HFX147,43.60818,-63.41869
HFX148,HFX,OTN-Global,Underwater mooring,130,HFX148,43.60182,-63.42348
HFX149,HFX,OTN-Global,Underwater mooring,128,HFX149,43.59546,-63.42826
HFX150,HFX,OTN-Global,Underwater mooring,128,HFX150,43.58909,-63.43304
HFX151,HFX,OTN-Global,Underwater mooring,126,HFX151,43.58273,-63.43782
HFX152,HFX,OTN-Global,Underwater mooring,126,HFX152,43.57636,-63.44261
HFX162,HFX,OTN-Global,Underwater mooring,166,HFX162,43.51273,-63.49043
HFX163,HFX,OTN-Global,Underwater mooring,168,HFX163,43.50636,-63.49522
HFX164,HFX,OTN-Global,Underwater mooring,169,HFX164,43.5,-63.5
HFX179,HFX,OTN-Global,Underwater mooring,171,HFX179,43.39192,-63.5
HFX180,HFX,OTN-Global,Underwater mooring,167,HFX180,43.38471,-63.5
HFX181,HFX,OTN-Global,Underwater mooring,166,HFX181,43.3775,-63.5
HFX182,HFX,OTN-Global,Underwater mooring,165,HFX182,43.3703,-63.5
HFX183,HFX,OTN-Global,Underwater mooring,172,HFX183,43.36309,-63.5
HFX184,HFX,OTN-Global,Underwater mooring,169,HFX184,43.35589,-63.5
HFX191,HFX,OTN-Global,Underwater mooring,169,HFX191,43.30545,-63.5
HFX192,HFX,OTN-Global,Underwater mooring,170,HFX192,43.29824,-63.5
HFX193,HFX,OTN-Global,Underwater mooring,170,HFX193,43.29104,-63.5
HFX194,HFX,OTN-Global,Underwater mooring,169,HFX194,43.28383,-63.5
HFX195,HFX,OTN-Global,Underwater mooring,169,HFX195,43.27663,-63.5
HFX196,HFX,OTN-Global,Underwater mooring,169,HFX196,43.26942,-63.5
HFX197,HFX,OTN-Global,Underwater mooring,173,HFX197,43.26221,-63.5
HFX198,HFX,OTN-Global,Underwater mooring,170,HFX198,43.25501,-63.5
HFX199,HFX,OTN-Global,Underwater mooring,168,HFX199,43.2478,-63.5
HFX200,HFX,OTN-Global,Underwater mooring,168,HFX200,43.2406,-63.5
HFX201,HFX,OTN-Global,Underwater mooring,168,HFX201,43.23339,-63.5
HFX202,HFX,OTN-Global,Underwater mooring,168,HFX202,43.22619,-63.5
HFX203,HFX,OTN-Global,Underwater mooring,166,HFX203,43.21898,-63.5
HFX204,HFX,OTN-Global,Underwater mooring,164,HFX204,43.21178,-63.5
HFX205,HFX,OTN-Global,Underwater mooring,159,HFX205,43.20457,-63.5
HFX215,HFX,OTN-Global,Underwater mooring,158,HFX215,43.13251,-63.5
HFX216,HFX,OTN-Global,Underwater mooring,160,HFX216,43.12531,-63.5
HFX217,HFX,OTN-Global,Underwater mooring,164,HFX217,43.1181,-63.5
HFX218,HFX,OTN-Global,Underwater mooring,166,HFX218,43.1109,-63.5
HFX219,HFX,OTN-Global,Underwater mooring,169,HFX219,43.10369,-63.5
HFX220,HFX,OTN-Global,Underwater mooring,171,HFX220,43.09649,-63.5
HFX221,HFX,OTN-Global,Underwater mooring,171,HFX221,43.08928,-63.5
HFX222,HFX,OTN-Global,Underwater mooring,171,HFX222,43.08207,-63.5
HFX223,HFX,OTN-Global,Underwater mooring,171,HFX223,43.07487,-63.5
HFX224,HFX,OTN-Global,Underwater mooring,170,HFX224,43.06766,-63.5
HFX225,HFX,OTN-Global,Underwater mooring,170,HFX225,43.06046,-63.5
HFX226,HFX,OTN-Global,Underwater mooring,171,HFX226,43.05325,-63.5
HFX227,HFX,OTN-Global,Underwater mooring,168,HFX227,43.04605,-63.5
HFX229,HFX,OTN-Global,Underwater mooring,166,HFX229,43.03163,-63.5
HFX230,HFX,OTN-Global,Underwater mooring,170,HFX230,43.02443,-63.5
HFX231,HFX,OTN-Global,Underwater mooring,172,HFX231,43.01722,-63.5
HFX232,HFX,OTN-Global,Underwater mooring,173,HFX232,43.01002,-63.5
HFX233,HFX,OTN-Global,Underwater mooring,174,HFX233,43.00281,-63.5
HFX234,HFX,OTN-Global,Underwater mooring,174,HFX234,42.99561,-63.5
HFX235,HFX,OTN-Global,Underwater mooring,167,HFX235,42.9884,-63.5
HFX236,HFX,OTN-Global,Underwater mooring,163,HFX236,42.9812,-63.5
HFX237,HFX,OTN-Global,Underwater mooring,161,HFX237,42.97399,-63.5
HFX238,HFX,OTN-Global,Underwater mooring,166,HFX238,42.96678,-63.5
HFX239,HFX,OTN-Global,Underwater mooring,169,HFX239,42.95958,-63.5
HFX240,HFX,OTN-Global,Underwater mooring,167,HFX240,42.95237,-63.5
HFX241,HFX,OTN-Global,Underwater mooring,165,HFX241,42.94517,-63.5
HFX242,HFX,OTN-Global,Underwater mooring,169,HFX242,42.93796,-63.5
HFX243,HFX,OTN-Global,Underwater mooring,169,HFX243,42.93076,-63.5
HFX244,HFX,OTN-Global,Underwater mooring,169,HFX244,42.92355,-63.5
HFX245,HFX,OTN-Global,Underwater mooring,172,HFX245,42.91635,-63.5
HFX246,HFX,OTN-Global,Underwater mooring,174,HFX246,42.90914,-63.5
HFX247,HFX,OTN-Global,Underwater mooring,174,HFX247,42.90193,-63.5
HFX248,HFX,OTN-Global,Underwater mooring,174,HFX248,42.89473,-63.5
HFX249,HFX,OTN-Global,Underwater mooring,172,HFX249,42.88752,-63.5
HFX250,HFX,OTN-Global,Underwater mooring,172,HFX250,42.88032,-63.5
HFX251,HFX,OTN-Global,Underwater mooring,171,HFX251,42.87311,-63.5
HFX252,HFX,OTN-Global,Underwater mooring,173,HFX252,42.86591,-63.5
HFX253,HFX,OTN-Global,Underwater mooring,176,HFX253,42.8587,-63.5
HFX254,HFX,OTN-Global,Underwater mooring,179,HFX254,42.85149,-63.5
HFX255,HFX,OTN-Global,Underwater mooring,185,HFX255,42.84429,-63.5
HFX256,HFX,OTN-Global,Underwater mooring,194,HFX256,42.83708,-63.5
HFX303,HFX,OTN-Global,Underwater mooring,126,HFX303,43.8127,-63.325
HFX293,HFX,OTN-Global,Underwater mooring,141,HFX293,43.876,-63.2822
HFX274,HFX,OTN-Global,Underwater mooring,177,HFX274,43.9975,-63.2009
HFX265,HFX,OTN-Global,Underwater mooring,148,HFX265,44.0544,-63.1626
HFX299,HFX,OTN-Global,Underwater mooring,133,HFX299,43.8382,-63.3079
HFX282,HFX,OTN-Global,Underwater mooring,140,HFX282,43.9466,-63.2349
HFX283,HFX,OTN-Global,Underwater mooring,137,HFX283,43.9402,-63.2399
HFX286,HFX,OTN-Global,Underwater mooring,131,HFX286,43.9208,-63.2523
HFX264,HFX,OTN-Global,Underwater mooring,144,HFX264,44.0609,-63.1585
HFX291,HFX,OTN-Global,Underwater mooring,142,HFX291,43.8893,-63.2741
HFX296,HFX,OTN-Global,Underwater mooring,121,HFX296,43.8571,-63.2952
HFX276,HFX,OTN-Global,Underwater mooring,179,HFX276,43.9847,-63.2099
HFX268,HFX,OTN-Global,Underwater mooring,172,HFX268,44.0355,-63.1758
HFX271,HFX,OTN-Global,Underwater mooring,174,HFX271,44.0167,-63.1886
HFX279,HFX,OTN-Global,Underwater mooring,157,HFX279,43.9652,-63.2224
HFX267,HFX,OTN-Global,Underwater mooring,172,HFX267,44.0417,-63.1713
HFX302,HFX,OTN-Global,Underwater mooring,136,HFX302,43.819,-63.3203
HFX284,HFX,OTN-Global,Underwater mooring,137,HFX284,43.9334,-63.2442
HFX-ST-lost-overboard,HFX,OTN-Global,Underwater mooring,135.26,HFX-ST-lost-overboard,44.5333,-63.4167
HFX304,HFX,OTN-Global,Underwater mooring,123,HFX304,43.8067,-63.3295
HFX263,HFX,OTN-Global,Underwater mooring,144,HFX263,44.0673,-63.1543
HFX287,HFX,OTN-Global,Underwater mooring,133,HFX287,43.9143,-63.2569
HFX290,HFX,OTN-Global,Underwater mooring,139,HFX290,43.8953,-63.2686
HFX266,HFX,OTN-Global,Underwater mooring,158,HFX266,44.0481,-63.1667
HFX300,HFX,OTN-Global,Underwater mooring,138,HFX300,43.8318,-63.3121
HFX285,HFX,OTN-Global,Underwater mooring,138,HFX285,43.927,-63.2483
HFX272,HFX,OTN-Global,Underwater mooring,172,HFX272,44.0102,-63.1929
HFX281,HFX,OTN-Global,Underwater mooring,143,HFX281,43.953,-63.2312
HFX269,HFX,OTN-Global,Underwater mooring,176,HFX269,44.0292,-63.1796
HFX261,HFX,OTN-Global,Underwater mooring,137,HFX261,44.0799,-63.1454
HFX074,HFX,OTN-Global,Underwater mooring,204,HFX074,44.06000795,-63.07911933
HFX088,HFX,OTN-Global,Underwater mooring,212,HFX088,43.97091578,-63.14607761
HFX089,HFX,OTN-Global,Underwater mooring,181,HFX089,43.96455205,-63.15086034
HFX090,HFX,OTN-Global,Underwater mooring,167,HFX090,43.95818832,-63.15564308
HFX091,HFX,OTN-Global,Underwater mooring,143,HFX091,43.9518246,-63.16042581
HFX084,HFX,OTN-Global,Underwater mooring,201,HFX084,43.99637068,-63.12694667
HFX079,HFX,OTN-Global,Underwater mooring,199,HFX079,44.02818932,-63.103033
HFX085,HFX,OTN-Global,Underwater mooring,199,HFX085,43.99000696,-63.13172941
HFX116,HFX,OTN-Global,Underwater mooring,140,HFX116,43.81300815,-63.30998722
HFX117,HFX,OTN-Global,Underwater mooring,129,HFX117,43.8086721,-63.31776926
HFX118,HFX,OTN-Global,Underwater mooring,130,HFX118,43.80433605,-63.32555129
HFX075,HFX,OTN-Global,Underwater mooring,202,HFX075,44.05364422,-63.08390207
HFX080,HFX,OTN-Global,Underwater mooring,207,HFX080,44.02182559,-63.10781574
HFX097,HFX,OTN-Global,Underwater mooring,133,HFX097,43.91364224,-63.18912222
HFX083,HFX,OTN-Global,Underwater mooring,195,HFX083,44.00273441,-63.12216394
HFX092,HFX,OTN-Global,Underwater mooring,140,HFX092,43.94546087,-63.16520855
HFX093,HFX,OTN-Global,Underwater mooring,142,HFX093,43.93909714,-63.16999128
HFX094,HFX,OTN-Global,Underwater mooring,140,HFX094,43.93273342,-63.17477401
HFX095,HFX,OTN-Global,Underwater mooring,137,HFX095,43.92636969,-63.17955675
HFX096,HFX,OTN-Global,Underwater mooring,132,HFX096,43.92000596,-63.18433948
HFX098,HFX,OTN-Global,Underwater mooring,135,HFX098,43.90727851,-63.19390495
HFX099,HFX,OTN-Global,Underwater mooring,101,HFX099,43.90091479,-63.19868769
HFX100,HFX,OTN-Global,Underwater mooring,133,HFX100,43.89455106,-63.20347042
HFX068,HFX,OTN-Global,Underwater mooring,160,HFX068,44.09465,-63.10568
HFX069,HFX,OTN-Global,Underwater mooring,160,HFX069,44.089,-63.09941
HFX070,HFX,OTN-Global,Underwater mooring,160,HFX070,44.08334,-63.09314
HFX071,HFX,OTN-Global,Underwater mooring,165,HFX071,44.07768,-63.08687
HFX072,HFX,OTN-Global,Underwater mooring,180,HFX072,44.07203,-63.0806
HFX104,HFX,OTN-Global,Underwater mooring,138,HFX104,43.86909615,-63.22260136
HFX105,HFX,OTN-Global,Underwater mooring,139,HFX105,43.86273243,-63.22738409
HFX081,HFX,OTN-Global,Underwater mooring,213,HFX081,44.01546186,-63.11259847
HFX082,HFX,OTN-Global,Underwater mooring,196,HFX082,44.00909814,-63.11738121
HFX101,HFX,OTN-Global,Underwater mooring,131,HFX101,43.88818733,-63.20825315
HFX102,HFX,OTN-Global,Underwater mooring,131,HFX102,43.88182361,-63.21303589
HFX103,HFX,OTN-Global,Underwater mooring,133,HFX103,43.87545988,-63.21781862
HFX107,HFX,OTN-Global,Underwater mooring,132,HFX107,43.85203262,-63.23994887
HFX108,HFX,OTN-Global,Underwater mooring,125,HFX108,43.84769656,-63.24773091
HFX109,HFX,OTN-Global,Underwater mooring,121,HFX109,43.84336051,-63.25551295
HFX110,HFX,OTN-Global,Underwater mooring,118,HFX110,43.83902446,-63.26329499
HFX111,HFX,OTN-Global,Underwater mooring,126,HFX111,43.83468841,-63.27107703
HFX112,HFX,OTN-Global,Underwater mooring,121,HFX112,43.83035236,-63.27885906
HFX113,HFX,OTN-Global,Underwater mooring,127,HFX113,43.82601631,-63.2866411
HFX114,HFX,OTN-Global,Underwater mooring,139,HFX114,43.82168026,-63.29442314
HFX115,HFX,OTN-Global,Underwater mooring,142,HFX115,43.81734421,-63.30220518
IBFS002,IBFS,OTN-Global,Underwater mooring,135.26,IBFS002,44.87385,-63.62661
IBFS001,IBFS,OTN-Global,Underwater mooring,135.26,IBFS001,44.86728,-63.62722
IBFS003,IBFS,OTN-Global,Underwater mooring,135.26,IBFS003,44.88767,-63.62337
IBFS004,IBFS,OTN-Global,Underwater mooring,135.26,IBFS004,44.88111,-63.61325
IBFS006,IBFS,OTN-Global,Underwater mooring,135.26,IBFS006,44.89916,-63.59065
IBFS007,IBFS,OTN-Global,Underwater mooring,135.26,IBFS007,44.9044,-63.61232
IBFS008,IBFS,OTN-Global,Underwater mooring,135.26,IBFS008,44.91488,-63.60674
IBFS009,IBFS,OTN-Global,Underwater mooring,135.26,IBFS009,44.92396,-63.59758
IBFS010,IBFS,OTN-Global,Underwater mooring,135.26,IBFS010,44.92788,-63.57605
IBFS011,IBFS,OTN-Global,Underwater mooring,135.26,IBFS011,44.94024,-63.57869
IBFS012,IBFS,OTN-Global,Underwater mooring,135.26,IBFS012,44.9434,-63.58912
IBFS013,IBFS,OTN-Global,Underwater mooring,135.26,IBFS013,44.95576,-63.57431
IBFS014,IBFS,OTN-Global,Underwater mooring,135.26,IBFS014,44.9619,-63.58136
IBFS015,IBFS,OTN-Global,Underwater mooring,135.26,IBFS015,44.9683,-63.57065
IBFS016,IBFS,OTN-Global,Underwater mooring,135.26,IBFS016,44.94352,-63.54622
IBFS017,IBFS,OTN-Global,Underwater mooring,135.26,IBFS017,44.93877,-63.53013
IBFS018,IBFS,OTN-Global,Underwater mooring,135.26,IBFS018,44.94184,-63.52858
IBFS019,IBFS,OTN-Global,Underwater mooring,135.26,IBFS019,44.94456,-63.52613
IBFS020,IBFS,OTN-Global,Underwater mooring,135.26,IBFS020,45.01365,-63.43477
IBFS021,IBFS,OTN-Global,Underwater mooring,135.26,IBFS021,45.01365,-63.43477
IBFS022,IBFS,OTN-Global,Underwater mooring,135.26,IBFS022,45.10352,-63.39927
IBFS023,IBFS,OTN-Global,Underwater mooring,135.26,IBFS023,45.11022,-63.40094
IBFS024,IBFS,OTN-Global,Underwater mooring,135.26,IBFS024,45.25093,-63.45627
IBFS025,IBFS,OTN-Global,Underwater mooring,135.26,IBFS025,45.32252,-63.4983
IBFS027,IBFS,OTN-Global,Underwater mooring,135.26,IBFS027,45.14629,-63.37146
IBFS028,IBFS,OTN-Global,Underwater mooring,135.26,IBFS028,45.14685,-63.35457
IBFS029,IBFS,OTN-Global,Underwater mooring,135.26,IBFS029,45.14381,-63.35024
IBFS030,IBFS,OTN-Global,Underwater mooring,135.26,IBFS030,45.15961,-63.33235
IBFS031,IBFS,OTN-Global,Underwater mooring,135.26,IBFS031,45.15638,-63.31922
IBFS032,IBFS,OTN-Global,Underwater mooring,135.26,IBFS032,45.14834,-63.30825
IBFS005,IBFS,OTN-Global,Underwater mooring,135.26,IBFS005,44.88911,-63.60997
IBFS026,IBFS,OTN-Global,Underwater mooring,135.26,IBFS026,45.14173,-63.36944
IBFS001-2017,IBFS,OTN-Global,Underwater mooring,4,IBFS001-2017,44.927,-63.573
IBFS002-2017,IBFS,OTN-Global,Underwater mooring,1,IBFS002-2017,44.942,-63.528
IBFS003-2017,IBFS,OTN-Global,Underwater mooring,2,IBFS003-2017,44.945,-63.525
IBFS004-2017,IBFS,OTN-Global,Underwater mooring,2,IBFS004-2017,44.971,-63.485
IBFS005-2017,IBFS,OTN-Global,Underwater mooring,2,IBFS005-2017,45.149,-63.307
IBFS006-2017,IBFS,OTN-Global,Underwater mooring,2,IBFS006-2017,45.155,-63.315
IBFS007-2016,IBFS,OTN-Global,Underwater mooring,2.5,IBFS007-2016,45.143,-63.348
IBFS008-2017,IBFS,OTN-Global,Underwater mooring,3,IBFS008-2017,45.147,-63.369
Camp1,IFS3,OTN-Global,Underwater mooring,22.7,Camp1,49.2874,-54.9231
Camp10,IFS3,OTN-Global,Underwater mooring,50.9,Camp10,49.214,-55.3012
Camp11,IFS3,OTN-Global,Underwater mooring,46.6,Camp11,49.3541,-54.8269
Camp12,IFS3,OTN-Global,Underwater mooring,38.6,Camp12,49.399,-54.8197
Camp13,IFS3,OTN-Global,Underwater mooring,43.8,Camp13,49.4208,-54.9729
Camp14,IFS3,OTN-Global,Underwater mooring,71.2,Camp14,49.4365,-55.1082
Camp14-2,IFS3,OTN-Global,Underwater mooring,53.8,Camp14-2,49.4646,-54.9929
Camp15,IFS3,OTN-Global,Underwater mooring,60.1,Camp15,49.4408,-54.9315
Camp16,IFS3,OTN-Global,Underwater mooring,16.7,Camp16,49.4488,-54.8207
Camp17,IFS3,OTN-Global,Underwater mooring,31.6,Camp17,49.4332,-54.8191
Camp18,IFS3,OTN-Global,Underwater mooring,58,Camp18,49.4763,-54.841
Camp19,IFS3,OTN-Global,Underwater mooring,53.7,Camp19,49.4764,-54.8421
Camp2,IFS3,OTN-Global,Underwater mooring,44.9,Camp2,49.3551,-54.9533
Camp20,IFS3,OTN-Global,Underwater mooring,26.2,Camp20,49.3542,-54.0065
Camp21,IFS3,OTN-Global,Underwater mooring,37.5,Camp21,49.5033,-55.0303
Camp22,IFS3,OTN-Global,Underwater mooring,62.7,Camp22,49.5206,-55.12
Camp23,IFS3,OTN-Global,Underwater mooring,135.26,Camp23,49.5141,-55.1487
Camp24,IFS3,OTN-Global,Underwater mooring,30.9,Camp24,49.5096,-54.9389
Camp25,IFS3,OTN-Global,Underwater mooring,135.26,Camp25,49.5409,-55.0312
Camp26,IFS3,OTN-Global,Underwater mooring,151,Camp26,49.5393,-55.0226
Camp27,IFS3,OTN-Global,Underwater mooring,83.3,Camp27,49.5397,-55.0046
Camp28,IFS3,OTN-Global,Underwater mooring,60.1,Camp28,49.561,-54.9527
Camp29,IFS3,OTN-Global,Underwater mooring,59.4,Camp29,49.5802,-54.9156
Camp3,IFS3,OTN-Global,Underwater mooring,52.7,Camp3,49.3615,-54.928
Camp4,IFS3,OTN-Global,Underwater mooring,95.8,Camp4,49.3639,-54.9454
Camp5,IFS3,OTN-Global,Underwater mooring,30,Camp5,49.5094,-54.9392
Camp6,IFS3,OTN-Global,Underwater mooring,76,Camp6,49.3768,-55.0702
Camp7,IFS3,OTN-Global,Underwater mooring,53.1,Camp7,49.3282,-55.206
Camp8,IFS3,OTN-Global,Underwater mooring,18.1,Camp8,49.2645,-55.1902
Camp9,IFS3,OTN-Global,Underwater mooring,55.2,Camp9,49.2224,-55.2978
CampRiver1,IFS3,OTN-Global,Underwater mooring,2,CampRiver1,49.2689,-54.9293
CampRiver2,IFS3,OTN-Global,Underwater mooring,2,CampRiver2,49.2695,-54.9303
CampRiver3,IFS3,OTN-Global,Underwater mooring,2,CampRiver3,49.2764,-54.9224
PB1,IFS3,OTN-Global,Underwater mooring,135.26,PB1,51.4495,-55.7149
PB2,IFS3,OTN-Global,Underwater mooring,135.26,PB2,51.471,-55.7384
PB3,IFS3,OTN-Global,Underwater mooring,135.26,PB3,51.4736,-55.7421
PB4,IFS3,OTN-Global,Underwater mooring,135.26,PB4,51.4651,-55.7325
IFS3-TEST-2015,IFS3,OTN-Global,Underwater mooring,135.26,IFS3-TEST-2015,52.416693,-56.037745
Cape Horn,IFS3,OTN-Global,Underwater mooring,40,Cape Horn,53.7932,-56.793
Earl Island West,IFS3,OTN-Global,Underwater mooring,25,Earl Island West,53.6894,-57.1641
Hare Harbor,IFS3,OTN-Global,Underwater mooring,20,Hare Harbor,53.7483,-56.8197
Huntington Island North 1,IFS3,OTN-Global,Underwater mooring,36,Huntington Island North 1,53.8204,-56.9667
