platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
SAF-AB012,SAF,OTN-Global,Underwater mooring,38,SAF-AB012,-33.86496,26.31999
SAF-AB013,SAF,OTN-Global,Underwater mooring,42,SAF-AB013,-33.87194,26.32075
SAF-AB014,SAF,OTN-Global,Underwater mooring,51,SAF-AB014,-33.87948,26.32158
SAF-AB015,SAF,OTN-Global,Underwater mooring,62,SAF-AB015,-33.8868,26.32199
SAF-MB008,SAF,OTN-Global,Underwater mooring,40,SAF-MB008,-34.12556,22.21933
SAF-MB009,SAF,OTN-Global,Underwater mooring,42,SAF-MB009,-34.13199,22.22348
SAF-MB010,SAF,OTN-Global,Underwater mooring,44,SAF-MB010,-34.1385,22.22766
SAF-AB016,SAF,OTN-Global,Underwater mooring,78,SAF-AB016,-33.89395,26.32216
SAF-AB017,SAF,OTN-Global,Underwater mooring,79,SAF-AB017,-33.90068,26.32248
SAF-AB018,SAF,OTN-Global,Underwater mooring,91,SAF-AB018,-33.90823,26.32264
SAF-AB019,SAF,OTN-Global,Underwater mooring,95,SAF-AB019,-33.91389,26.32297
SAF-AB020,SAF,OTN-Global,Underwater mooring,93,SAF-AB020,-33.9199,26.32371
SAF-MB011,SAF,OTN-Global,Underwater mooring,46,SAF-MB011,-34.14488,22.23176
SAF-MB012,SAF,OTN-Global,Underwater mooring,48,SAF-MB012,-34.15143,22.23597
SAF-MB010T,SAF,OTN-Global,Underwater mooring,47,SAF-MB010T,-34.1385,22.22766
EST-Storms River,SAF,OTN-Global,Underwater mooring,8,EST-Storms River,-34.01886,23.90357
DUR-BRDeep,SAF,OTN-Global,Underwater mooring,26,DUR-BRDeep,-29.90783,31.05077
DUR-BRShallow,SAF,OTN-Global,Underwater mooring,15,DUR-BRShallow,-29.90528,31.04613
DUR-Dharb,SAF,OTN-Global,Underwater mooring,9,DUR-Dharb,-29.86467,31.05718
GWE-GG002,SAF,OTN-Global,Underwater mooring,29,GWE-GG002,-31.29557,30.02297
EST-Goukou,SAF,OTN-Global,Underwater mooring,2,EST-Goukou,-34.36857,21.41443
EST-Mngazana,SAF,OTN-Global,Underwater mooring,1.5,EST-Mngazana,-31.68787,29.38733
PR-PR001,SAF,OTN-Global,Underwater mooring,19.2,PR-PR001,-30.82203,30.41302
UM-UM001,SAF,OTN-Global,Underwater mooring,20,UM-UM001,-29.61437,31.16558
RECAPTURE-SAIAB-22-14,SAF,OTN-Global,Underwater mooring,135.26,RECAPTURE-SAIAB-22-14,-33.0057,27.82525
RECAPTURE-SAIAB-38-14,SAF,OTN-Global,Underwater mooring,135.26,RECAPTURE-SAIAB-38-14,-33.72009,25.85276
RECAPTURE-SAIAB-53-14,SAF,OTN-Global,Underwater mooring,135.26,RECAPTURE-SAIAB-53-14,-31.59999,29.53117
RECAPTURE-SAIAB-28-14,SAF,OTN-Global,Underwater mooring,135.26,RECAPTURE-SAIAB-28-14,-31.59999,29.53117
RECAPTURE-SAIAB-25876,SAF,OTN-Global,Underwater mooring,135.26,RECAPTURE-SAIAB-25876,-33.4962,27.14026
EST-DUI,SAF,OTN-Global,Underwater mooring,1.6,EST-DUI,-34.35142,21.00866
EST-Klein Brak,SAF,OTN-Global,Underwater mooring,2,EST-Klein Brak,-34.09104,22.1425
EST-Tyolomnqa,SAF,OTN-Global,Underwater mooring,1.2,EST-Tyolomnqa,-33.22471,27.57863
EST-Breede,SAF,OTN-Global,Underwater mooring,1.5,EST-Breede,-34.3974,20.8353
EST-Ntafufu,SAF,OTN-Global,Underwater mooring,1.5,EST-Ntafufu,-31.557,29.6258
GWE-GG01,SAF,OTN-Global,Underwater mooring,18,GWE-GG01,-31.2929,30.0176
GWE-GG02,SAF,OTN-Global,Underwater mooring,29,GWE-GG02,-31.2952,30.022
KZN-Hibberdene,SAF,OTN-Global,Underwater mooring,20,KZN-Hibberdene,-30.5877,30.5777
KZN-Ifafa,SAF,OTN-Global,Underwater mooring,18,KZN-Ifafa,-30.4658,30.6593
KZN-Mbango 1,SAF,OTN-Global,Underwater mooring,20,KZN-Mbango 1,-30.7567,30.4584
KZN-Mtwalume,SAF,OTN-Global,Underwater mooring,19,KZN-Mtwalume,-30.5014,30.6378
KZN-Mzamba,SAF,OTN-Global,Underwater mooring,15,KZN-Mzamba,-31.0926,30.195
KZN-Palm beach,SAF,OTN-Global,Underwater mooring,14.5,KZN-Palm beach,-30.9861,30.2931
KZN-Park Ryn,SAF,OTN-Global,Underwater mooring,18,KZN-Park Ryn,-30.3392,30.74
KZN-Pennington,SAF,OTN-Global,Underwater mooring,18,KZN-Pennington,-30.3928,30.7021
KZN-Scott,SAF,OTN-Global,Underwater mooring,12,KZN-Scott,-30.2795,30.7677
KZN-T.O. Strand,SAF,OTN-Global,Underwater mooring,18,KZN-T.O. Strand,-31.0371,30.2454
KZN-Umtentweni,SAF,OTN-Global,Underwater mooring,17,KZN-Umtentweni,-30.7127,30.4892
PLB-PLB001,SAF,OTN-Global,Underwater mooring,17,PLB-PLB001,-34.0871,23.4011
PLB-PLB002,SAF,OTN-Global,Underwater mooring,22,PLB-PLB002,-34.0537,23.3966
PLB-PLB003,SAF,OTN-Global,Underwater mooring,22,PLB-PLB003,-34.014,23.4457
PLB-PLB004,SAF,OTN-Global,Underwater mooring,22,PLB-PLB004,-33.9903,23.5721
SAF-RR001,SAF,OTN-Global,Underwater mooring,20,SAF-RR001,-27.0469,32.8653
SAF-RR002,SAF,OTN-Global,Underwater mooring,30,SAF-RR002,-27.0469,32.8732
WB-WB001,SAF,OTN-Global,Underwater mooring,24,WB-WB001,-34.4195,19.2539
WB-WB002,SAF,OTN-Global,Underwater mooring,24,WB-WB002,-34.4206,19.2475
WB-WB003,SAF,OTN-Global,Underwater mooring,23,WB-WB003,-34.4259,19.2842
WB-WB004,SAF,OTN-Global,Underwater mooring,27,WB-WB004,-34.4362,19.2276
V2LKZNSB-HIBBERDENE,V2LKZNSB,SAF,Underwater mooring,20,V2LKZNSB-HIBBERDENE,-30.5877,30.5777
V2LKZNSB-IFAFA,V2LKZNSB,SAF,Underwater mooring,18,V2LKZNSB-IFAFA,-30.4658,30.6593
V2LKZNSB-MBANGO 1,V2LKZNSB,SAF,Underwater mooring,20,V2LKZNSB-MBANGO 1,-30.7567,30.4584
V2LKZNSB-MTWALUME,V2LKZNSB,SAF,Underwater mooring,19,V2LKZNSB-MTWALUME,-30.5014,30.6378
V2LKZNSB-MZAMBA,V2LKZNSB,SAF,Underwater mooring,15,V2LKZNSB-MZAMBA,-31.0926,30.195
V2LKZNSB-PALM BEACH,V2LKZNSB,SAF,Underwater mooring,14.5,V2LKZNSB-PALM BEACH,-30.9861,30.2931
V2LKZNSB-PARK RYN,V2LKZNSB,SAF,Underwater mooring,18,V2LKZNSB-PARK RYN,-30.3392,30.74
V2LKZNSB-PENNINGTON,V2LKZNSB,SAF,Underwater mooring,18,V2LKZNSB-PENNINGTON,-30.3928,30.7021
V2LKZNSB-SCOTT,V2LKZNSB,SAF,Underwater mooring,12,V2LKZNSB-SCOTT,-30.2795,30.7677
V2LKZNSB-T.O. STRAND,V2LKZNSB,SAF,Underwater mooring,18,V2LKZNSB-T.O. STRAND,-31.0371,30.2454
V2LKZNSB-UMTENTWENI,V2LKZNSB,SAF,Underwater mooring,17,V2LKZNSB-UMTENTWENI,-30.7127,30.4892
Armitage Island,ADM,nep,Underwater mooring,135.26,Armitage Island,48.5345,-122.7956
Cypress Island,ADM,nep,Underwater mooring,135.26,Cypress Island,48.5957,-122.7301
Freeman Island,ADM,nep,Underwater mooring,135.26,Freeman Island,48.6991,-122.9522
Iceberg Point,ADM,nep,Underwater mooring,135.26,Iceberg Point,48.4234,-122.8927
Lawrence Point,ADM,nep,Underwater mooring,135.26,Lawrence Point,48.6597,-122.7344
Lime Kiln,ADM,nep,Underwater mooring,135.26,Lime Kiln,48.5157,-123.1529
NW Blakely Dock,ADM,nep,Underwater mooring,135.26,NW Blakely Dock,48.5856,-122.8173
Obstruction Pass,ADM,nep,Underwater mooring,135.26,Obstruction Pass,48.6003,-122.8305
Patos Island,ADM,nep,Underwater mooring,135.26,Patos Island,48.7856,-122.9705
Point George,ADM,nep,Underwater mooring,135.26,Point George,48.5608,-122.9892
Sentinel Island,ADM,nep,Underwater mooring,135.26,Sentinel Island,48.6392,-123.1643
Sucia,ADM,nep,Underwater mooring,135.26,Sucia,48.7463,-122.8993
ADMIRALTY001,ADM,nep,Underwater mooring,60,ADMIRALTY001,48.07304,-122.61662
