FID,CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Cl,CHSA_Pop16,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
59,2242,Southwest Coquitlam,2242 Southwest Coquitlam,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,70406,24.63,49.260824,-122.838651,57791504.1796875,46610.1265530705
60,2244,Port Coquitlam,2244 Port Coquitlam,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,58612,34.54,49.258314,-122.762147,80998448.9453125,46761.7043786743
61,2245,Port Moody/Anmore/Belcarra,2245 Port Moody/Anmore/Belcarra,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,36404,61.14,49.322649,-122.863,143766663.523438,90001.1156490255
62,2311,City of Langley,2311 City of Langley,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,25888,10.22,49.09869,-122.659729,23821164.2109375,21937.8549360634
63,2313,Willoughby,2313 Willoughby,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,31567,21.91,49.138421,-122.649935,51144519.5859375,30726.9363828803
64,2314,Brookswood/Murrayville,2314 Brookswood/Murrayville,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,22090,23.45,49.080072,-122.638906,54601706.6015625,54082.4154759251
65,2315,Aldergrove/Otter,2315 Aldergrove/Otter,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban,13204,16.4,49.056318,-122.503818,38149621.2265625,41811.5119040264
66,2316,North Langley Township,2316 North Langley Township,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,6 Rural,12653,109.7,49.116908,-122.530078,255829653.34375,75383.4960271162
67,2317,South Langley Township,2317 South Langley Township,231,Langley,231 Langley,035,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,6 Rural,8789,102.09,49.033133,-122.575349,237288709.554688,84889.149799029
68,2321,North Delta,2321 North Delta,232,Delta,232 Delta,037,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,56017,21.1,49.142664,-122.907753,49262996.3515625,36988.3181410818
69,2323,Tsawwassen,2323 Tsawwassen,232,Delta,232 Delta,037,23,23 FS,Fraser South,23 Fraser South,2,2 FHA,Fraser,2 Fraser,4 Small Urban,22225,20.32,49.025319,-123.078355,47211078.671875,48869.0505672641
