FID,CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Cl,CHSA_Pop16,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
94,3242,West Point Grey/Dunbar-Southlands,3242 West Point Grey/Dunbar-Southlands,324,Vancouver - Westside,324 Vancouver - Westside,164,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,34483,12.5,49.24874,-123.18788,29299237.296875,38497.5795619768
95,3243,University of British Columbia,3243 University of British Columbia,324,Vancouver - Westside,324 Vancouver - Westside,164,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,15890,14.59,49.257812,-123.230285,34226720.8828125,31440.6901946413
96,3244,Kitsilano,3244 Kitsilano,324,Vancouver - Westside,324 Vancouver - Westside,164,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,42812,5.5,49.266406,-123.163248,12910970.0625,17257.6005568519
97,3251,Kensington,3251 Kensington,325,Vancouver - Midtown,325 Vancouver - Midtown,165,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,31755,4.27,49.241611,-123.076791,10015311.6796875,13433.5329131176
98,3252,Mount Pleasant,3252 Mount Pleasant,325,Vancouver - Midtown,325 Vancouver - Midtown,165,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,32807,4.47,49.264138,-123.096788,10493450.234375,13635.6189281684
99,3253,South Cambie/Riley Park,3253 South Cambie/Riley Park,325,Vancouver - Midtown,325 Vancouver - Midtown,165,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,31246,7.13,49.245117,-123.108979,16708577.3515625,16530.5053466592
100,3261,Killarney,3261 Killarney,326,Vancouver - South,326 Vancouver - South,166,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,29561,6.95,49.217664,-123.03757,16279360.1484375,17913.2765026473
101,3262,Oakridge/Marpole,3262 Oakridge/Marpole,326,Vancouver - South,326 Vancouver - South,166,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,37453,10.03,49.217294,-123.125923,23475387.9453125,21364.0519373757
102,3263,Sunset,3263 Sunset,326,Vancouver - South,326 Vancouver - South,166,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,36496,6.35,49.219516,-123.09195,14862079.234375,15745.0694461699
103,3264,Victoria-Fraserview,3264 Victoria-Fraserview,326,Vancouver - South,326 Vancouver - South,166,32,32 VAN,Vancouver,32 Vancouver,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,31065,5.42,49.220468,-123.064104,12689919.1875,14938.1769159784
104,3311,North Vancouver City - East,3311 North Vancouver City - East,331,North Vancouver,331 North Vancouver,044,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,19230,6.3,49.318343,-123.059224,14806813.578125,25937.1114725396
105,3312,North Vancouver City - West,3312 North Vancouver City - West,331,North Vancouver,331 North Vancouver,044,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,34244,5.84,49.323241,-123.084631,13732889.765625,17480.0934477502
106,3313,North Vancouver DM - Central,3313 North Vancouver DM - Central,331,North Vancouver,331 North Vancouver,044,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,29808,28.65,49.361279,-123.048382,67485475.6640625,48006.7724009729
107,3314,North Vancouver DM - East,3314 North Vancouver DM - East,331,North Vancouver,331 North Vancouver,044,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,29271,343.93,49.441082,-122.988975,812533813.140625,168357.080821451
108,3315,North Vancouver DM - West,3315 North Vancouver DM - West,331,North Vancouver,331 North Vancouver,044,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,28839,32.08,49.366337,-123.097947,75564743.6953125,50912.493378816
109,3321,West Vancouver - Lower,3321 West Vancouver - Lower,332,West Vancouver/Bowen Island,332 West Vancouver/Bowen Island,045,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,1 Metropolitan,19412,7.54,49.329978,-123.1464,17743101.5546875,24845.8875031802
110,3323,Bowen Island/Lions Bay,3323 Bowen Island/Lions Bay,332,West Vancouver/Bowen Island,332 West Vancouver/Bowen Island,045,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,6 Rural,5086,130.97,49.435343,-123.205162,309137470.289063,138576.870814713
111,3331,Gibsons,3331 Gibsons,333,Sunshine Coast,333 Sunshine Coast,046,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,5 Rural Hub,8269,26.05,49.417805,-123.539507,61482231.7421875,45517.5157156042
112,3332,Sechelt,3332 Sechelt,333,Sunshine Coast,333 Sunshine Coast,046,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,5 Rural Hub,10862,42.05,49.47685,-123.76103,99516670.5625,96543.5038188649
113,3341,Powell River City,3341 Powell River City,334,Powell River,334 Powell River,047,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,4 Small Urban,13157,31.12,49.864232,-124.527978,74813294.984375,58969.4786026305
114,3342,qathet Rural,3342 qathet Rural,334,Powell River,334 Powell River,047,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,6 Rural,6514,5194.26,50.185968,-124.346353,12702380056.9844,1460978.77833856
115,3351,Squamish,3351 Squamish,335,Howe Sound,335 Howe Sound,048,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,4 Small Urban,19893,112.61,49.74915,-123.137426,269436357.15625,187750.027824027
116,3352,Whistler,3352 Whistler,335,Howe Sound,335 Howe Sound,048,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,5 Rural Hub,11854,244.96,50.090356,-122.994228,594404438.46875,115480.352122584
117,3353,Howe Sound Rural,3353 Howe Sound Rural,335,Howe Sound,335 Howe Sound,048,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,6 Rural,6906,8844.45,50.254478,-123.148445,21615353288.7031,1504589.53112002
118,3360,Bella Coola Valley,3360 Bella Coola Valley,336,Bella Coola Valley,336 Bella Coola Valley,049,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,7 Remote,2678,25204.55,52.352284,-126.307079,67443503486.1094,3000329.68583778
119,3370,Central Coast,3370 Central Coast,337,Central Coast,337 Central Coast,083,33,33 NSCG,North Shore/Coast Garibaldi,33 North Shore/Coast Garibaldi,3,3 VCHA,Vancouver Coastal,3 Vancouver Coastal,7 Remote,1514,10712.99,51.992569,-128.048735,28450343222.8516,10668351.8735266
120,4111,Downtown Victoria/Vic West,4111 Downtown Victoria/Vic West,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,31290,7.32,48.43691,-123.369149,16615276.578125,32358.7021515141
121,4119,Esquimalt,4119 Esquimalt,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,19497,7.99,48.43506,-123.413007,18134455.6484375,34779.8267926089
122,4115,Gordon Head/Shelbourne,4115 Gordon Head/Shelbourne,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,38257,21.89,48.475426,-123.326314,49751547.1171875,57147.4544285847
123,4112,James Bay/Fairfield,4112 James Bay/Fairfield,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,32057,7.66,48.416407,-123.352996,17363822.453125,26042.3722109432
124,4114,Oak Bay,4114 Oak Bay,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,18094,12.64,48.435997,-123.310424,28691613.25,70991.038461059
125,4113,Oaklands/Fernwood,4113 Oaklands/Fernwood,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,22445,4.5,48.435247,-123.340208,10220027.875,15639.5019756917
126,4116,Quadra/Swan Lake,4116 Quadra/Swan Lake,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,24167,9.91,48.46452,-123.363375,22520855.484375,23752.4582222674
127,4117,Interurban/Tillicum,4117 Interurban/Tillicum,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,29704,23.79,48.474028,-123.412062,54081414.90625,42498.5521825562
128,4118,View Royal,4118 View Royal,411,Greater Victoria,411 Greater Victoria,061,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,10408,16.4,48.473552,-123.465784,37299244.8984375,55258.9764298591
129,4121,Colwood,4121 Colwood,412,Western Communities,412 Western Communities,062,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,16859,17.69,48.426319,-123.486492,40140499.984375,41388.3959054434
130,4122,Metchosin,4122 Metchosin,412,Western Communities,412 Western Communities,062,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,4837,74.72,48.376706,-123.571276,169225597.875,124318.455908558
131,4123,Langford/Highlands,4123 Langford/Highlands,412,Western Communities,412 Western Communities,062,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,37985,87.62,48.488723,-123.513598,199305253,98570.4708468902
132,4124,Sooke,4124 Sooke,412,Western Communities,412 Western Communities,062,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,5 Rural Hub,14894,88.4,48.369415,-123.688722,200238233.875,172326.366354263
133,4125,Juan de Fuca Coast,4125 Juan de Fuca Coast,412,Western Communities,412 Western Communities,062,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,2885,1474.55,48.534585,-124.012626,3360187946.70313,443831.463835883
134,4131,Royal Oak/Cordova Bay/Prospect,4131 Royal Oak/Cordova Bay/Prospect,413,Saanich Peninsula,413 Saanich Peninsula,063,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,22020,47.15,48.521643,-123.405647,107386242.460938,47573.4329344969
135,4132,Central Saanich,4132 Central Saanich,413,Saanich Peninsula,413 Saanich Peninsula,063,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,19325,46.15,48.581063,-123.421695,105355751.234375,56663.2346189731
136,4133,North Saanich,4133 North Saanich,413,Saanich Peninsula,413 Saanich Peninsula,063,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,11675,40.36,48.653181,-123.432566,92413584.1328125,74755.2750352428
137,4134,Sidney,4134 Sidney,413,Saanich Peninsula,413 Saanich Peninsula,063,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,2 Large Urban,11672,5.08,48.651901,-123.407049,11640871.1328125,20208.1797412741
138,4141,Salt Spring Island,4141 Salt Spring Island,414,Southern Gulf Islands,414 Southern Gulf Islands,064,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,10557,185.66,48.813769,-123.497312,427783482.5625,214234.156965502
139,4142,Pender/Galiano/Saturna/Mayne,4142 Pender/Galiano/Saturna/Mayne,414,Southern Gulf Islands,414 Southern Gulf Islands,064,41,41 SVI,South Vancouver Island,41 South Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,4732,191.03,48.873478,-123.332212,440270049.4375,672998.814358032
140,4211,South Cowichan,4211 South Cowichan,421,Cowichan Valley South,421 Cowichan Valley South,065,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,5 Rural Hub,17780,237.7,48.620568,-123.59754,543591306.796875,181580.383817432
141,4212,Central Cowichan,4212 Central Cowichan,421,Cowichan Valley South,421 Cowichan Valley South,065,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,4 Small Urban,40598,505.64,48.765509,-123.739826,1162799780.91406,243308.618814219
142,4220,Cowichan Valley West,4220 Cowichan Valley West,422,Cowichan Valley West,422 Cowichan Valley West,066,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,6240,2378.13,48.823213,-124.337145,5476514493.76563,593684.915333311
143,4233,Chemainus,4233 Chemainus,423,Cowichan Valley North,423 Cowichan Valley North,067,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,5 Rural Hub,6037,18.49,48.921862,-123.731493,42803364.3125,61339.6825432263
144,4234,Penelakut and Thetis Islands,4234 Penelakut and Thetis Islands,423,Cowichan Valley North,423 Cowichan Valley North,067,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,851,48.49,49.044989,-123.635938,112699630.367188,167857.675769256
145,4241,Downtown Nanaimo,4241 Downtown Nanaimo,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,3 Medium Urban,20117,14.14,49.17666,-123.948806,33046757.2734375,52376.8510806827
146,4242,Departure Bay,4242 Departure Bay,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,3 Medium Urban,25680,21.09,49.205567,-123.994766,49362217.921875,38282.2734659667
147,4243,Nanaimo North/Lantzville,4243 Nanaimo North/Lantzville,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,3 Medium Urban,30045,48.59,49.23366,-124.054772,113830503.648438,93839.7765164218
148,4244,Nanaimo South,4244 Nanaimo South,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,3 Medium Urban,14529,27.65,49.131872,-123.902169,64523672.984375,99224.1899114525
149,4245,Nanaimo West/Rural,4245 Nanaimo West/Rural,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,7502,1080.07,49.118068,-124.276946,2518935476.27344,495997.032363066
150,4246,Cedar/Wellington,4246 Cedar/Wellington,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,7058,62.39,49.087145,-123.847438,145324533.570313,76393.4096293352
151,4247,Gabriola Island,4247 Gabriola Island,424,Greater Nanaimo,424 Greater Nanaimo,068,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,4033,58.08,49.159837,-123.789575,135668224.476563,132508.545381313
152,4251,Parksville,4251 Parksville,425,Oceanside,425 Oceanside,069,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,4 Small Urban,13260,16.81,49.317799,-124.301624,39512025.0625,49491.2186025889
153,4252,Qualicum Beach,4252 Qualicum Beach,425,Oceanside,425 Oceanside,069,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,4 Small Urban,8943,17.99,49.345394,-124.429288,42353450.515625,42437.6437977324
154,4253,Oceanside Rural,4253 Oceanside Rural,425,Oceanside,425 Oceanside,069,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,24930,811.24,49.308634,-124.526599,1907748924.25781,721685.944016094
155,4261,Port Alberni,4261 Port Alberni,426,Alberni/Clayoquot,426 Alberni/Clayoquot,070,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,4 Small Urban,21118,49.21,49.274198,-124.836838,115480372.429688,98002.391852031
156,4262,Alberni Valley/Bamfield,4262 Alberni Valley/Bamfield,426,Alberni/Clayoquot,426 Alberni/Clayoquot,070,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,4329,3492.71,49.14445,-125.013971,8154132358.4375,1253313.95637023
157,4263,West Coast,4263 West Coast,426,Alberni/Clayoquot,426 Alberni/Clayoquot,070,42,42 CVI,Central Vancouver Island,42 Central Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,7 Remote,5534,3338.82,49.2452,-125.69306,7840646075.65625,2467534.00564275
158,4311,Comox,4311 Comox,431,Comox Valley,431 Comox Valley,071,43,43 NVI,North Vancouver Island,43 North Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,3 Medium Urban,21744,72.27,49.72771,-124.92234,172747716.148438,113991.617241696
159,4312,Comox Valley Rural,4312 Comox Valley Rural,431,Comox Valley,431 Comox Valley,071,43,43 NVI,North Vancouver Island,43 North Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,6 Rural,19623,1640.95,49.665467,-125.170048,3911801722.0625,557320.881970696
160,4321,Campbell River,4321 Campbell River,432,Greater Campbell River,432 Greater Campbell River,072,43,43 NVI,North Vancouver Island,43 North Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,3 Medium Urban,33465,150.84,50.003179,-125.294254,364694210.859375,148220.947620188
161,4342,Port McNeill/Sointula,4342 Port McNeill/Sointula,434,Vancouver Island North,434 Vancouver Island North,085,43,43 NVI,North Vancouver Island,43 North Vancouver Island,4,4 VIHA,Vancouver Island,4 Vancouver Island,5 Rural Hub,3021,89.5,50.644283,-126.997983,222229265.539063,123613.337831344
162,5101,Haida Gwaii South,5101 Haida Gwaii South,510,Haida Gwaii,510 Haida Gwaii,050,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,7 Remote,2323,5251.95,52.817749,-131.936138,14451855995.9766,4695214.47509937
163,5102,Haida Gwaii North,5102 Haida Gwaii North,510,Haida Gwaii,510 Haida Gwaii,050,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,7 Remote,1875,4791.1,53.837812,-132.492974,13734639347.8984,1969688.26714993
164,5121,Prince Rupert City Centre,5121 Prince Rupert City Centre,512,Prince Rupert,512 Prince Rupert,052,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,4 Small Urban,12220,54.97,54.279013,-130.306818,160928238.070313,102205.560059936
165,5130,Upper Skeena,5130 Upper Skeena,513,Upper Skeena,513 Upper Skeena,053,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,7 Remote,4223,4461.98,55.290582,-127.489005,13729752310.4766,677266.566710414
166,5141,Smithers Town Centre,5141 Smithers Town Centre,514,Smithers,514 Smithers,054,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,5 Rural Hub,6182,73.37,54.808739,-127.245443,220399728.007813,93085.6007455336
167,5142,Smithers Rural,5142 Smithers Rural,514,Smithers,514 Smithers,054,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,6 Rural,6786,4232.63,54.71122,-127.149333,12647703812.2734,785956.538277844
168,5143,Houston,5143 Houston,514,Smithers,514 Smithers,054,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,5 Rural Hub,3446,5637.44,54.176605,-127.296955,16405141311.9609,911343.15621334
169,5150,Kitimat,5150 Kitimat,515,Kitimat,515 Kitimat,080,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,5 Rural Hub,9090,19598.68,53.398844,-128.64864,55243138777.3438,8572711.7581465
170,5160,Stikine,5160 Stikine,516,Stikine,516 Stikine,087,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,7 Remote,1033,132240.59,58.594773,-129.960236,487588978984.125,6652227.53386042
171,5171,Terrace City Centre,5171 Terrace City Centre,517,Terrace,517 Terrace,088,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,4 Small Urban,11977,26.67,54.521318,-128.620052,78988642.96875,62768.6943628596
172,5172,Terrace Rural,5172 Terrace Rural,517,Terrace,517 Terrace,088,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,6 Rural,8273,13200.93,54.747105,-128.554275,39547038279.3281,1415233.0525601
173,5190,Telegraph Creek,5190 Telegraph Creek,519,Telegraph Creek,519 Telegraph Creek,094,51,51 NW,Northwest,51 Northwest,5,5 NHA,Northern,5 Northern,7 Remote,595,23942.51,57.520185,-130.77409,82777641318.5938,1324428.8408834
174,5211,Quesnel City Centre,5211 Quesnel City Centre,521,Quesnel,521 Quesnel,028,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,4 Small Urban,9987,39.51,52.987638,-122.475644,108831128.820313,86842.2564823521
175,5212,Quesnel Rural,5212 Quesnel Rural,521,Quesnel,521 Quesnel,028,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,13218,23686.18,53.005114,-122.817823,65289580536.2734,1913483.84669548
176,5221,Burns Lake Town Centre,5221 Burns Lake Town Centre,522,Burns Lake,522 Burns Lake,055,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,5 Rural Hub,2065,6.97,54.227806,-125.751251,20359682,23426.7769783568
177,5222,Burns Lake South,5222 Burns Lake South,522,Burns Lake,522 Burns Lake,055,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,7 Remote,1740,18719.86,53.56967,-126.16719,52984263100.3594,1294623.22486544
178,5223,Burns Lake North,5223 Burns Lake North,522,Burns Lake,522 Burns Lake,055,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,2451,7097.16,54.545519,-125.894035,21039036272.7422,879154.456151053
179,5231,Vanderhoof,5231 Vanderhoof,523,Nechako,523 Nechako,056,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,4439,54.28,54.015546,-124.004685,156897083.429688,67189.4641905919
180,5232,Vanderhoof Rural,5232 Vanderhoof Rural,523,Nechako,523 Nechako,056,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,3996,5611.19,53.824728,-123.963427,16073151504.6641,766736.91474105
181,5233,Fort St. James North,5233 Fort St. James North,523,Nechako,523 Nechako,056,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,4558,33203.19,55.300504,-125.43247,102249832913.242,2323414.70078031
182,5234,Fraser Lake,5234 Fraser Lake,523,Nechako,523 Nechako,056,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,2864,3676.43,53.858062,-124.765658,10546569658.9297,566512.242470184
183,5241,Prince George City - North,5241 Prince George City - North,524,Prince George,524 Prince George,057,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,3 Medium Urban,16947,183.69,53.968959,-122.778853,529802877.453125,151658.99449615
184,5242,Prince George City - Central,5242 Prince George City - Central,524,Prince George,524 Prince George,057,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,3 Medium Urban,41431,80.3,53.893438,-122.714335,230766889.796875,101459.632178699
185,5243,Prince George City - Southwest,5243 Prince George City - Southwest,524,Prince George,524 Prince George,057,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,3 Medium Urban,15730,72.13,53.850274,-122.817516,206851125.195313,66609.1235024066
186,5246,McBride/Valemount,5246 McBride/Valemount,524,Prince George,524 Prince George,057,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,7 Remote,3223,15221.42,53.112753,-119.706364,42176956466.9453,1622810.22994998
187,5245,Prince George North Fraser Rural,5245 Prince George North Fraser Rural,524,Prince George,524 Prince George,057,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,5486,27568.87,54.304913,-122.097547,80825401897.8672,2064670.48036375
188,5244,Prince George Southwest Rural,5244 Prince George Southwest Rural,524,Prince George,524 Prince George,057,52,52 NI,Northern Interior,52 Northern Interior,5,5 NHA,Northern,5 Northern,6 Rural,7847,4121.34,53.618236,-122.888165,11691042862.1484,671510.716310992
189,5311,Dawson Creek,5311 Dawson Creek,531,Peace River South,531 Peace River South,059,53,53 NE,Northeast,53 Northeast,5,5 NHA,Northern,5 Northern,4 Small Urban,12198,30.87,55.743655,-120.216752,97215176.2890625,65474.9426007592
190,5312,Chetwynd,5312 Chetwynd,531,Peace River South,531 Peace River South,059,53,53 NE,Northeast,53 Northeast,5,5 NHA,Northern,5 Northern,6 Rural,2503,43.46,55.719227,-121.634191,136637602.109375,69668.727014845
