FID,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,LHA_Pop16,LHA_Area,Latitude,Longitude,Shape__Area,Shape__Length
17,134,Princeton,134 Princeton,17,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,4781,4826.04,49.465568,-120.567596,11414845339,719167.9246
18,135,Armstrong/Spallumcheen,135 Armstrong/Spallumcheen,21,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,10220,263.75,50.445902,-119.212326,649570853.3,154408.7995
19,136,Vernon,136 Vernon,22,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,66849,5585.52,50.260526,-118.770375,13651693128,951926.0598
20,137,Central Okanagan,137 Central Okanagan,23,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,194882,2910.76,49.964429,-119.467316,7026299092,542656.6134
21,138,Summerland,138 Summerland,77,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,12110,615.74,49.629565,-119.852005,1466250724,196597.3875
22,139,Enderby,139 Enderby,78,13,13 OK,Okanagan,13 Okanagan,1,1 IHA,Interior,1 Interior,7285,1865.96,50.669583,-118.766761,4639201927,406896.7823
23,141,Revelstoke,141 Revelstoke,19,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,8085,9320.32,51.389437,-118.206429,23905589648,1063477.779
24,142,Salmon Arm,142 Salmon Arm,20,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,33648,3155.97,50.842622,-119.030894,7904718197,681680.5225
25,143,Kamloops,143 Kamloops,24,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,113287,16504.73,51.026278,-119.971276,41668573896,1299031.863
26,144,100 Mile House,144 100 Mile House,25,14,14 TC,Thompson Cariboo Shuswap,14 Thompson Cariboo Shuswap,1,1 IHA,Interior,1 Interior,14112,10958.62,51.630916,-121.242638,28375283967,847261.1459
